age,employment,income,location,has_medical_aid,heard_of_nmc,nmc_products_known,nmc_impression,knows_cost,why_no_medical_aid,likelihood_to_sign_up,what_would_make_sign_up,willingness_to_pay,benefits_wanted,open_text,sentiment
18-24,Student,Prefer not to say,Khomas Region,No,No,,,I have heard figures but I am not sure,,1.0,A promotional offer or incentive,Under N$500,Dental;Mental health support,Too expensive ,Negative
18-24,Employed full-time,"Under N$5,000",Khomas Region,No,Maybe,,,"No, I have no idea",I do not fully understand how it works,3.0,Lower monthly cost,Under N$500,Doctor visits;Dental,People cannot afford it ,Neutral
18-24,Employed part-time,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",I do not fully understand how it works,3.0,Lower monthly cost,Under N$500,Doctor visits;Dental,Most because they do not have any source of income ,Positive
31-35,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz,Very positive,"Yes, I have a good idea",I do not fully understand how it works,5.0,More flexible or customisable plan,"N$500 - N$1,000",Hospitalisation;Maternity cover;Emergency cover,the fact that they have to cover equal cost with employers instead of employer covering more,Positive
18-24,Student,Prefer not to say,Other urban area,No,No,None of the above,I have never heard of them,I have heard figures but I am not sure,I have never thought about it,1.0,Other,Under N$500,Maternity cover,"Financial problems 
",Neutral
18-24,Unemployed,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,I do not fully understand how it works;I use alternatives like cash or pay for health insurance,3.0,A better understanding of the benefits;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Optical;Mental health support;Emergency cover,"Personally, most Namibians do not have knowledge on Medical Aid, hence they avoid it. And some believe that it is expensive ",Neutral
25-30,Self-employed,"Under N$5,000",Khomas Region,No,Yes,Emerald;Amber;Ruby,Neutral,I have heard figures but I am not sure,Too expensive,3.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Dental;Emergency cover,There isn’t enough education on medical aids. I think most assume that you can only get medical aid if you’re employed.,Positive
31-35,Unemployed,Prefer not to say,Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,I have never heard of them,I have heard figures but I am not sure,Too expensive,3.0,A better understanding of the benefits,Under N$500,Doctor visits,Zero knowledge ,Neutral
25-30,Employed part-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,I have heard figures but I am not sure,My employer does not offer it,3.0,My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Chronic medication;Dental,They cannot afford it,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits;Dental;Optical;Maternity cover;Emergency cover,Because it’s too expensive ,Negative
31-35,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,Yes,None of the above,,I have heard figures but I am not sure,My employer does not offer it,5.0,My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Emergency cover,They can't afford ,Neutral
31-35,Employed full-time,Prefer not to say,Rural area,Yes,No,,,I have heard figures but I am not sure,,,,,Mental health support,They don’t know much about it.,Positive
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,Yes,No,,,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Emergency cover,They can’t afford ,Neutral
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,None of the above,I have never heard of them,"No, I have no idea",I do not fully understand how it works,5.0,A recommendation from someone I trust,I would not pay for it at all,Doctor visits,Because they think the charges are too much ,Positive
18-24,Student,"Under N$5,000",Khomas Region,No,Yes,Topaz,Somewhat positive,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance,5.0,A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Dental;Mental health support,It is costly. ,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Hospitalisation;Maternity cover;Emergency cover,Lack of understanding ,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,Yes,None of the above,I have never heard of them,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Dental,Because they are not affordable ,Neutral
25-30,Student,"Under N$5,000",Khomas Region,Yes,Yes,Topaz Plus;Jade,Somewhat positive,"Yes, I have a good idea",,,,,Hospitalisation;Chronic medication;Optical;Mental health support;Emergency cover,Because it's an expense that they don't fully understand the reward to. As sometimes medical aids do not pay. ,Neutral
31-35,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz,Neutral,"Yes, I have a good idea",,,Other,"N$500 - N$1,000",Hospitalisation,People are not avoiding but the medical aids are costly,Neutral
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Emerald;Amber;Jade;Ruby,Neutral,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Emergency cover,"Too pricey. Also, young people generally think they’re healthy; and mostly only kids & old people need the hospital",Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,I have heard figures but I am not sure,,,,,Hospitalisation;Dental;Maternity cover,"I wouldn’t say they avoid, they probably just have no means to cover for it. Otherwise, medical aid is a very important instrument considering the world we live in.",Positive
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",I can not afford since I am unemployed ,3.0,Lower monthly cost;Other,I would not pay for it at all,Hospitalisation;Dental;Emergency cover,Because they do not fully understand the benefits of a medical aid and they don’t want to spend on it.,Neutral
25-30,Unemployed,"Under N$5,000",Other urban area,No,Yes,Emerald,Very positive,I have heard figures but I am not sure,I have never been able to afford it ,,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Maternity cover;Emergency cover,Most young Namibiana avoid it because they do not think about the medical aspects of life. Most of us can not afford it too,Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Topaz Plus,Somewhat positive,"Yes, I have a good idea",,,My employer covering part or all of the cost,,Doctor visits;Hospitalisation;Maternity cover,Expensive,Negative
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,,,"No, I have no idea",Too expensive,1.0,Lower monthly cost;Other,Under N$500,Doctor visits;Dental;Mental health support,Because is too expensive ,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Amber,Somewhat positive,I have heard figures but I am not sure,My employer does not offer it,4.0,My employer covering part or all of the cost;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Emergency cover,It's expensive but many young people just don't think they need it,Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Ruby,Somewhat positive,"Yes, I have a good idea",,,,,Hospitalisation;Dental;Optical,Young Namibians avoid medical aid due to ignorance.,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Jade;Ruby;Emerald Plus,,I have heard figures but I am not sure,On short-term contract which does not offer medical aid,5.0,My employer covering part or all of the cost,Under N$500,Doctor visits;Chronic medication;Dental;Optical;Mental health support;Emergency cover,Incomes dont match medical cost,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,No,Yes,Jade;Ruby,Somewhat positive,"Yes, I have a good idea",Too expensive,3.0,Lower monthly cost;My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Too expensive.,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz Plus,Somewhat positive,I have heard figures but I am not sure,,,,,Hospitalisation;Mental health support;Emergency cover,Because of the costs ,Neutral
31-35,Employed full-time,"Under N$5,000",Other urban area,No,Yes,Ruby,Neutral,I have heard figures but I am not sure,My employer does not offer it,1.0,Lower monthly cost;My employer covering part or all of the cost,Under N$500,Chronic medication;Maternity cover;Emergency cover,Because its helpful in your worse and emergency situations of your health ,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,,,,Hospitalisation;Chronic medication;Maternity cover;Emergency cover,I believe young Namibians avoid medical aid for a number of reasons: 1. Most young people are unemployed 2. Young individuals are only employed on a contract based term which hardly gets turned into permanent employment and most of the time they don’t offer medical aid benefits 3. Medical aid is costly ,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Emerald;Jade;Ruby,Very positive,"Yes, I have a good idea",,,,,Hospitalisation;Dental;Emergency cover,"Probably because of pricing, which is understandable. ",Neutral
25-30,Employed part-time,"N$5,000 - N$10,000",Khomas Region,No,No,,,,,,,,Doctor visits;Hospitalisation;Chronic medication;Maternity cover;Mental health support;Emergency cover,"They don't avoid medical aid,  they just can't afford it.
",Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,,,I have heard figures but I am not sure,My employer does not offer it,3.0,Other,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication,It is expensive and negligence.,Negative
31-35,Employed full-time,"Under N$5,000",Other urban area,Yes,No,None of the above,,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Mental health support,"Is expensive,  and those private doctors only care about their  claiming they money  ",Negative
25-30,Student,Prefer not to say,Other urban area,No,No,,,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance,3.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Dental;Optical;Maternity cover,Because they're unemployed and can't afford it.,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,No,None of the above,I have never heard of them,I have heard figures but I am not sure,My employer does not offer it,1.0,Lower monthly cost,I would not pay for it at all,Emergency cover,It is costy,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,No,Yes,Jade;Ruby,Somewhat positive,"Yes, I have a good idea",My employer does not offer it,5.0,Lower monthly cost;My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Dental;Emergency cover,"It’s 2000+ we could use more effectively, we don’t make use of medical aid until emergency strikes so we don’t see it as an investment (you barely see where your money goes). ",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Emergency cover,They lack information and financial resources,Neutral
18-24,Student,"Under N$5,000",Rural area,No,No,None of the above,,I have heard figures but I am not sure,,1.0,Lower monthly cost,"N$500 - N$1,000",Doctor visits,"Unemployment and lack of funds
",Neutral
18-24,Employed part-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Amber Plus,Very positive,"Yes, I have a good idea",Too expensive,1.0,Lower monthly cost,"N$1,000 - N$2,000",Doctor visits;Optical,"They lack understanding 
",Neutral
18-24,Student,Prefer not to say,Other urban area,No,No,None of the above,Very positive,"No, I have no idea",I do not fully understand how it works,1.0,Other,Under N$500,Doctor visits,Because it's expensive ,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Dental,"due to high unemployment rates and the high cost of monthly premiums, making it unaffordable for many.",Positive
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",I am young and healthy - I do not need it yet,1.0,My employer covering part or all of the cost,"N$500 - N$1,000",Hospitalisation;Maternity cover;Mental health support,"Because of the costs.
",Neutral
18-24,Unemployed,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,On short-term contract which does not offer medical aid,3.0,My employer covering part or all of the cost;More flexible or customisable plan;A promotional offer or incentive,"N$500 - N$1,000",Doctor visits;Dental;Maternity cover;Mental health support;Emergency cover,They don't have proper funding to maintain having medical aid and as well as high unemployment rates since they'll be no source of income.,Positive
18-24,Student,Prefer not to say,Other urban area,No,Yes,None of the above,Somewhat positive,I have heard figures but I am not sure,Too expensive,1.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A promotional offer or incentive,Under N$500,Doctor visits;Hospitalisation;Emergency cover,"Most have no clear understanding of how it works and its benefits
With the situation of the economy most young people can’t afford to pay for it ",Positive
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,No,,,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,They don’t want to pay,Neutral
18-24,Student,Prefer not to say,Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive,1.0,My employer covering part or all of the cost;A better understanding of the benefits;A recommendation from someone I trust,Under N$500,Hospitalisation;Dental;Mental health support,"Because it is expensive for most,  especially students, and the unemployed people(youth).",Neutral
25-30,Self-employed,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Amber;Jade,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Optical;Emergency cover,Young Namibians avoid medical aid because they cannot afford the cover that’s actually worth it. The more affordable medical aid covers run out before the year ends or they do not use their medical aid sufficiently & end up canceling it due to how expensive it is monthly.,Positive
25-30,Student,"Under N$5,000",Khomas Region,No,Yes,Emerald;Opal;Ruby,Neutral,I have heard figures but I am not sure,Unemployed ,3.0,Lower monthly cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"Lack of the knowledge on different and available types of medical aid, lack of funds or unemployment to afford medical aid.",Positive
18-24,Student,"Under N$5,000",Khomas Region,No,Yes,,,"No, I have no idea",Too expensive,1.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,They are not well educated about it. ,Neutral
25-30,Student,Prefer not to say,Rural area,No,No,,,"No, I have no idea",,1.0,Other,I would not pay for it at all,Doctor visits;Hospitalisation;Maternity cover,Most of them are scared of the medical costs .,Positive
18-24,Student,"N$5,000 - N$10,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,Still on my parents medical aid,,My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Hospitalisation;Optical,"I think because it is too expensive- and we don’t see it as a priority, thus also not budgeting for it. Additionally, we know little to nothing about medical aid. ",Negative
18-24,Unemployed,"Under N$5,000",Rural area,No,No,None of the above,I have never heard of them,"No, I have no idea",Unemployed ,1.0,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,The cost as well as accessibility is huge complication.,Positive
18-24,Student,"Under N$5,000",Other urban area,No,No,,,"No, I have no idea",I have never thought about it,1.0,Other,"N$500 - N$1,000",Doctor visits;Hospitalisation;Optical,"Because we're not well informed about it, and thinks it's very expensive",Negative
18-24,Unemployed,Prefer not to say,Khomas Region,No,Yes,Emerald;Amber;Opal;Jade;Ruby,Neutral,"Yes, I have a good idea",I use alternatives like cash or pay for health insurance,5.0,More flexible or customisable plan;A recommendation from someone I trust,"Above N$2,000",Hospitalisation;Dental;Optical;Mental health support;Emergency cover,"high costs, unable to see see it as important and beneficial (im healthy and nothing will ever happen to me mindset), uneducated/unaware on the available ones which can be affordable 🤍",Positive
18-24,Student,"Under N$5,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits;Dental;Emergency cover,Lack of awareness ,Neutral
Prefer not to say,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,Somewhat positive,"Yes, I have a good idea",,,,,Hospitalisation;Mental health support;Emergency cover,"They feel it’s an unexpected deduction and it’s costly. However, employers these days do not give us options to chose whether we want it or not. ",Positive
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,Somewhat negative,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Dental;Optical;Maternity cover,Expensive,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz,Somewhat positive,"Yes, I have a good idea",On short-term contract which does not offer medical aid,,,,Doctor visits,It’s expensive ,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Emerald Plus,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Maternity cover,Medical aid is too expensive in Namibia.,Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Dental;Mental health support,Cost of private health and general notion that they don’t need it as it is an unnecessary expense.,Negative
25-30,Student,"Under N$5,000",Other urban area,No,Yes,Ruby,Neutral,"Yes, I have a good idea",,5.0,My employer covering part or all of the cost,"N$1,000 - N$2,000",Doctor visits;Emergency cover,"Affordability. Even if employers offer to pay a percentage thereof, premiums are still mostly unaffordable. ",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,Yes,None of the above,I have never heard of them,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Emergency cover,"They are scared of how much it might cost them to use it.
",Positive
18-24,Unemployed,Prefer not to say,Other urban area,No,No,,,I have heard figures but I am not sure,I do not fully understand how it works;I have never thought about it,1.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;Other,I would not pay for it at all,Dental;Optical;Mental health support,"Unemployment and/or no way to pay for or afford it monthly. Not understanding what it entails, the importance and how it works.",Neutral
25-30,Student,Prefer not to say,Rural area,No,No,,,"No, I have no idea",,,,Under N$500,Chronic medication;Maternity cover;Mental health support,They can afford at all,Neutral
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",,,,,Doctor visits;Dental;Maternity cover,High cost ,Positive
18-24,Student,"Under N$5,000",Khomas Region,No,No,None of the above,I have never heard of them,I have heard figures but I am not sure,Too expensive;I do not fully understand how it works,3.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Dental;Maternity cover;Mental health support;Emergency cover,Probably because it’s too expensive or thei income is too little so far those I’ve met are only on it because parents pay for it,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,None of the above,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Dental;Optical,It’s costly ,Neutral
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,None of the above,Very positive,"No, I have no idea",I have,,Other,"N$1,000 - N$2,000",Doctor visits,It’s pricey ,Neutral
18-24,Self-employed,"Above N$20,000",Other urban area,No,No,,Very positive,"No, I have no idea",I do not fully understand how it works,1.0,A better understanding of the benefits,Under N$500,Doctor visits,"Deductions ,",Neutral
25-30,Employed full-time,Prefer not to say,Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Jade;Ruby,Very positive,I have heard figures but I am not sure,Too expensive;My employer does not offer it;,5.0,Lower monthly cost;My employer covering part or all of the cost;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Mental health support,Medical aid that offeres benefits that are useful is very expensive and if you get a cheaper plan you end up paying a lot of copayments and covering most treatments cash which is why people prefer to use cash or opt for public hospitals ,Positive
18-24,Unemployed,"Under N$5,000",Other urban area,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"No, I have no idea",On short-term contract which does not offer medical aid,5.0,A better understanding of the benefits,"N$1,000 - N$2,000",Doctor visits;Dental;Maternity cover;Emergency cover,"Because some can’t afford, and some believe it is not needed due to low chances of hospitalization or being in the status of being healthy. I think it’s basically that mindset.",Positive
31-35,Unemployed,Prefer not to say,Other urban area,No,No,None of the above,I have never heard of them,"No, I have no idea",I have never thought about it,5.0,A promotional offer or incentive,I would not pay for it at all,Mental health support,Majority  are not educated about it enough,Neutral
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Topaz;Topaz Plus;Opal;Jade;Ruby,Somewhat negative,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Emergency cover,"It does not seem worth it to everyone. If you don’t have kids, or have a chronic health issue, I don’t think you are getting your money’s worth.",Positive
31-35,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,Jade,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication,To expensive ,Negative
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Emerald;Emerald Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Emergency cover,They don’t have a high enough disposable income. ,Positive
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Amber,Very positive,I have heard figures but I am not sure,,5.0,A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Expensive ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus;None of the above,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"To save on money and to avoid the responsibility  of having one. They would rather go to state hospitals or clinics than to pay expensive for a medical aid, cause they reason they hardly use it to pay so expensive. ",Negative
25-30,Unemployed,"N$10,000 - N$25,000",Khomas Region,Yes,Maybe,,I have never heard of them,I have heard figures but I am not sure,,5.0,,,Chronic medication;Dental;Emergency cover,Expensive,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,It is too costly and they think they do not need it. ,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald,Somewhat positive,I have heard figures but I am not sure,Too expensive;My employer does not offer it,4.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan;A promotional offer or incentive,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,There is not information out there about it and most can not afford it ,Positive
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,None of the above,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Emergency cover,"Cost, ",Neutral
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",I have never thought about it,5.0,A better understanding of the benefits,Under N$500,Doctor visits,Because we think its only for employed people.,Neutral
31-35,Self-employed,"N$10,000 - N$25,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,Too expensive,3.0,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Emergency cover,"It’s too expensive and the costs that come after medical aid pays, more like excess fees. Private doctors are too expensive and they apparently add unnecessary costs to claim more.",Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Maternity cover,Lack of funds and understanding. Some people believe it’s a waste of money as they hardly get sick ,Negative
18-24,Unemployed,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,,5.0,A promotional offer or incentive,"N$500 - N$1,000",Doctor visits;Hospitalisation;Emergency cover,It’s expensive ,Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Emerald;Jade;Ruby,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Emergency cover,Too much cost without using it everytime ,Positive
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive,1.0,Lower monthly cost,Under N$500,Doctor visits;Dental;Mental health support;Emergency cover,Many young Namibians avoid medical aid because monthly contributions feel expensive relative to their income and other priorities. They also often believe they don’t need coverage while they are still young and healthy.,Positive
25-30,Self-employed,"N$10,000 - N$25,000",Other urban area,No,Yes,Emerald;Ruby,Neutral,I have heard figures but I am not sure,Too expensive,5.0,Lower monthly cost;More flexible or customisable plan,"Above N$2,000",Hospitalisation;Maternity cover;Mental health support,Unemployed. ,Neutral
25-30,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance;,2.0,More flexible or customisable plan,Under N$500,Hospitalisation;Dental;Emergency cover,They are unemployed and majority simply can’t afford it. ,Neutral
25-30,Self-employed,"Under N$5,000",Other urban area,No,Yes,Emerald,Somewhat positive,I have heard figures but I am not sure,My employer does not offer it,4.0,More flexible or customisable plan,Under N$500,Doctor visits;Maternity cover;Emergency cover,The do not full understand ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Maternity cover;Mental health support;Emergency cover,It is expensive to some especially those who feel they do not get sick as often ,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Jade;Ruby,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover;Mental health support;Emergency cover,They only consider it when they fall ill and not part of their financial planning for the future.,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Jade;Ruby,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Chronic medication;Emergency cover,It's too expensive,Negative
18-24,Student,Prefer not to say,Khomas Region,Yes,No,,,I have heard figures but I am not sure,,,,,Hospitalisation;Dental;Emergency cover,They either can't afford it or they have no idea how to apply for medical aid,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Ruby,Very positive,"Yes, I have a good idea",,,My employer covering part or all of the cost,"N$1,000 - N$2,000",Hospitalisation;Maternity cover;Emergency cover,It is too costly.,Neutral
25-30,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,Maybe,,,"No, I have no idea",Too expensive,4.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Maternity cover;Emergency cover,Honestly we think it'd expensive we were also never educated on thing like medical aid ,Positive
31-35,Unemployed,Prefer not to say,Khomas Region,No,Yes,Ruby,,"Yes, I have a good idea",I just lost my job so don’t have money for it,3.0,Other,"Above N$2,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover,They can’t afford it. They feel like they will pay when the get sick cause the are healthy ,Negative
18-24,Employed full-time,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive;I do not fully understand how it works;My employer does not offer it,3.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A promotional offer or incentive,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Dental;Mental health support;Emergency cover,"Due to it being too expensive 
And not all workplaces offer medical aid",Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive,1.0,Lower monthly cost,Under N$500,Hospitalisation;Dental;Maternity cover,Because of the cost and companies that doesn’t provide it.,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,No,Yes,Amber,Neutral,I have heard figures but I am not sure,Too expensive,4.0,My employer covering part or all of the cost,"N$1,000 - N$2,000",Dental;Optical;Emergency cover,"It’s not that they avoid it, they just don’t know a lot about it.",Neutral
